email,grupo,matricula
bgenge0@discovery.com,Grupo 5B,NA934941
cbolzen1@phpbb.com,Grupo 3B,HM397906
sguerrier2@posterous.com,Grupo 3B,LW891398
alurriman3@ustream.tv,Grupo 3B,UG416600
dcawdell4@time.com,Grupo 5B,FD911814
sfairbairn5@prnewswire.com,Grupo 4B,GM710152
lmacgillreich6@theatlantic.com,Grupo 3A,JQ187556
idormand8@narod.ru,Grupo 2B,OR692309
bcockin9@hp.com,Grupo 4B,SW682977
tarnasonb@sourceforge.net,Grupo 3B,IV921102
rilyinskid@bloglines.com,Grupo 2A,XO875644
feylese@desdev.cn,Grupo 5A,JY341752
hkitteringhamf@patch.com,Grupo 4A,IH882802
kbirtlesg@ocn.ne.jp,Grupo 6A,LY900813
lkrzyzaniakh@cbc.ca,Grupo 6A,IW447309
ashaughnessyj@live.com,Grupo 5B,UJ274441
jstoneyk@nytimes.com,Grupo 1A,SJ097958
tlangtryl@livejournal.com,Grupo 5A,KL723533
hformbym@miibeian.gov.cn,Grupo 6A,IA761433
hcovotton@friendfeed.com,Grupo 5B,AY902086
irubinlichto@devhub.com,Grupo 2A,BD174365
apontinp@msu.edu,Grupo 1B,KX912618
peppsonq@economist.com,Grupo 3B,WQ493396
nbarendsr@ocn.ne.jp,Grupo 1A,AK068610
scaseris@thetimes.co.uk,Grupo 1B,TS396671
dgilbodyw@washingtonpost.com,Grupo 4A,FE573160
sbridewelly@xing.com,Grupo 3A,TY079956
slargentz@topsy.com,Grupo 1B,VV243728
santonich11@hubpages.com,Grupo 2A,CR302726
vshaughnessy13@istockphoto.com,Grupo 2B,YC566800
rmeneely14@irs.gov,Grupo 3A,KO862912
kord15@elpais.com,Grupo 6B,PK362066
rdamant16@jalbum.net,Grupo 1A,XG439500
kcoleiro17@house.gov,Grupo 5B,NW342887
mlayton18@google.it,Grupo 2B,BD959838
vtrewman19@tinyurl.com,Grupo 1B,AZ886820
bredhead1a@hexun.com,Grupo 2B,IK390721
joakenfall1b@twitpic.com,Grupo 6B,CY804698
etolan1c@jigsy.com,Grupo 6A,ZO777374
pcleaveland1e@china.com.cn,Grupo 6B,EG690778
wmatches1f@youku.com,Grupo 6B,XR535741
tbowshire1g@arstechnica.com,Grupo 4A,LW956969
tjaskowicz1h@t.co,Grupo 1B,ZY693517
mzorzetti1i@deliciousdays.com,Grupo 4B,BQ183110
mleport1j@flavors.me,Grupo 5A,QP926845
aseivwright1k@loc.gov,Grupo 2A,UW210258
tdunkersley1m@berkeley.edu,Grupo 1A,NL497801
mtett1n@ameblo.jp,Grupo 6A,EJ910306
grouth1p@google.com.br,Grupo 4A,GJ935845
dblackledge1r@wp.com,Grupo 4A,QS617261
mgaines1s@ocn.ne.jp,Grupo 6B,VW890853
cbesson1t@washington.edu,Grupo 6A,PW582223
aemmanueli1x@wikimedia.org,Grupo 3A,NB568918
graistrick1y@pinterest.com,Grupo 3B,UV975075
akullmann1z@wired.com,Grupo 6A,GI594807
aescot20@msn.com,Grupo 1B,RI444818
ccassels22@hubpages.com,Grupo 3B,DT581450
lbatch23@vimeo.com,Grupo 2B,QZ996705
idmitrichenko24@google.com.br,Grupo 4A,TN377089
cstockney25@nymag.com,Grupo 6A,AO543267
jhaccleton26@wikipedia.org,Grupo 1B,OF600452
lpullan27@tripod.com,Grupo 2B,DV470543
apiotr29@shinystat.com,Grupo 1A,OV786010
dwestman2a@pinterest.com,Grupo 3B,AY604841
gshayes2b@cornell.edu,Grupo 3A,XN214096
eaxford2c@ted.com,Grupo 6A,KK040711
scayford2d@microsoft.com,Grupo 6A,YF130317
stregoning2e@yahoo.com,Grupo 6A,FC405185
nbarby2i@bbc.co.uk,Grupo 3A,QM263986
abartlet2j@miitbeian.gov.cn,Grupo 4A,OI219857
cdursley2k@zimbio.com,Grupo 4B,QF325757
hanfrey2l@weather.com,Grupo 5A,AP065290
rsoane2m@ucsd.edu,Grupo 5A,PU874672
piohananof2n@tmall.com,Grupo 4B,FW371694
evarsey2o@cyberchimps.com,Grupo 1A,NB733202
jellerman2p@creativecommons.org,Grupo 2A,VO788429
hheijnen2q@elpais.com,Grupo 6A,XW913439
