grupo,materia,docente,is_active
Grupo 1A,Español,dwudeland7@liveinternet.ru,True
Grupo 1A,Geografia,avittelc@washington.edu,True
Grupo 1A,Matematicas,nbennet@pagesperso-orange.fr,True
Grupo 1A,Biologia,yhayshami@comcast.net,True
Grupo 1A,Ingles,akuhnertu@e-recht24.de,True
Grupo 1A,Quimica,jleblancv@addtoany.com,True
Grupo 1A,Historia,bhaythorn1u@freewebs.com,True
Grupo 1B,Español,ugrigorkina@altervista.org,True
Grupo 1B,Geografia,bbuckleighx@un.org,True
Grupo 1B,Matematicas,tbello1l@bravesites.com,True
Grupo 1B,Biologia,selizabeth1v@wiley.com,True
Grupo 1B,Ingles,mcalliss1o@skyrock.com,True
Grupo 1B,Quimica,imelburg10@google.pl,True
Grupo 1B,Historia,cpatrono21@google.pl,True
Grupo 2A,Español,cmiddle2g@sourceforge.net,True
Grupo 2A,Geografia,mbernardos1q@a8.net,True
Grupo 2A,Matematicas,clauder1w@apple.com,True
Grupo 2A,Biologia,yhayshami@comcast.net,True
Grupo 2A,Ingles,iestevez2h@mail.ru,True
Grupo 2A,Quimica,scordero12@digg.com,True
Grupo 2A,Historia,bhaythorn1u@freewebs.com,True
Grupo 2B,Español,dwudeland7@liveinternet.ru,True
Grupo 2B,Geografia,avittelc@washington.edu,True
Grupo 2B,Matematicas,ostile2f@lycos.com,True
Grupo 2B,Biologia,selizabeth1v@wiley.com,True
Grupo 2B,Ingles,akuhnertu@e-recht24.de,True
Grupo 2B,Quimica,lstangoe1d@foxnews.com,True
Grupo 2B,Historia,cpatrono21@google.pl,True
Grupo 3A,Español,ugrigorkina@altervista.org,True
Grupo 3A,Geografia,bbuckleighx@un.org,True
Grupo 3A,Matematicas,nbennet@pagesperso-orange.fr,True
Grupo 3A,Biologia,yhayshami@comcast.net,True
Grupo 3A,Ingles,mcalliss1o@skyrock.com,True
Grupo 3A,Quimica,glorait28@google.com.br,True
Grupo 3A,Historia,bhaythorn1u@freewebs.com,True
Grupo 3B,Español,cmiddle2g@sourceforge.net,True
Grupo 3B,Geografia,mbernardos1q@a8.net,True
Grupo 3B,Matematicas,tbello1l@bravesites.com,True
Grupo 3B,Biologia,selizabeth1v@wiley.com,True
Grupo 3B,Ingles,iestevez2h@mail.ru,True
Grupo 3B,Quimica,jleblancv@addtoany.com,True
Grupo 3B,Historia,cpatrono21@google.pl,True
Grupo 4A,Español,dwudeland7@liveinternet.ru,True
Grupo 4A,Geografia,avittelc@washington.edu,True
Grupo 4A,Matematicas,clauder1w@apple.com,True
Grupo 4A,Biologia,yhayshami@comcast.net,True
Grupo 4A,Ingles,akuhnertu@e-recht24.de,True
Grupo 4A,Quimica,imelburg10@google.pl,True
Grupo 4A,Historia,bhaythorn1u@freewebs.com,True
Grupo 4B,Español,ugrigorkina@altervista.org,True
Grupo 4B,Geografia,bbuckleighx@un.org,True
Grupo 4B,Matematicas,ostile2f@lycos.com,True
Grupo 4B,Biologia,selizabeth1v@wiley.com,True
Grupo 4B,Ingles,mcalliss1o@skyrock.com,True
Grupo 4B,Quimica,scordero12@digg.com,True
Grupo 4B,Historia,cpatrono21@google.pl,True
Grupo 5A,Español,cmiddle2g@sourceforge.net,True
Grupo 5A,Geografia,mbernardos1q@a8.net,True
Grupo 5A,Matematicas,nbennet@pagesperso-orange.fr,True
Grupo 5A,Biologia,yhayshami@comcast.net,True
Grupo 5A,Ingles,iestevez2h@mail.ru,True
Grupo 5A,Quimica,lstangoe1d@foxnews.com,True
Grupo 5A,Historia,bhaythorn1u@freewebs.com,True
Grupo 5B,Español,dwudeland7@liveinternet.ru,True
Grupo 5B,Geografia,avittelc@washington.edu,True
Grupo 5B,Matematicas,tbello1l@bravesites.com,True
Grupo 5B,Biologia,selizabeth1v@wiley.com,True
Grupo 5B,Ingles,akuhnertu@e-recht24.de,True
Grupo 5B,Quimica,glorait28@google.com.br,True
Grupo 5B,Historia,cpatrono21@google.pl,True
Grupo 6A,Español,ugrigorkina@altervista.org,True
Grupo 6A,Geografia,bbuckleighx@un.org,True
Grupo 6A,Matematicas,clauder1w@apple.com,True
Grupo 6A,Biologia,yhayshami@comcast.net,True
Grupo 6A,Ingles,mcalliss1o@skyrock.com,True
Grupo 6A,Quimica,jleblancv@addtoany.com,True
Grupo 6A,Historia,bhaythorn1u@freewebs.com,True
Grupo 6B,Español,cmiddle2g@sourceforge.net,True
Grupo 6B,Geografia,mbernardos1q@a8.net,True
Grupo 6B,Matematicas,ostile2f@lycos.com,True
Grupo 6B,Biologia,selizabeth1v@wiley.com,True
Grupo 6B,Ingles,iestevez2h@mail.ru,True
Grupo 6B,Quimica,imelburg10@google.pl,True
Grupo 6B,Historia,cpatrono21@google.pl,True
